id_book,title,authors,publisher,published_year,id_categories
1270,"The Rule of Racialization: Class, Identity, Governance (Labor in Crisis)",Steve Martinot,Temple University Press,2003,18
1271,"Mark Twain: The Gilded Age and Later Novels: The Gilded Age / The American Claimant / Tom Sawyer Abroad / Tom Sawyer, Detective / No. 44, The Mysterious Stranger (Library of America)",Mark Twain,Library of America,2002,4
1272,How I Ran Off to Sea and Became a Moonie,Dagmar Corales,Athena PressPub Company,2003,4
1273,Squire Throwleigh's Heir (Knights Templar),Michael Jecks,Simon and Schuster,2012,4
1274,Fables from the Garden (Kolowalu Book),Leslie Ann Hayashi,University of Hawaii Press,1998,21
1275,Operation Moonlight Sonata: The German Raid on Coventry,Allan W. Kurki,Praeger Pub Text,1995,18
1276,A Romance of Two Worlds,Marie Corelli,Graphic Arts Books,2021,4
1277,Distributed Operating Systems,Andrew S. Tanenbaum,Pearson Education India,1995,102
1278,M.O.G.E.,Fredrick Standfield,Xulon Press,2004,1
1279,Maggie's Treasure (Gatlin Fields),Sandra Waggoner,Sable Creek PressLlc,2005,20
1280,Holt Geometry Textbook - Student Edition,"Edward B. Burger, Ph.D., David J. Chard, Ph.D., Paul A. Kennedy, Ph.D.",Holt McDougal,2011,19
1281,Peace And Its Discontents: Essays on Palestine in the Middle East Peace Process,Edward W. Said,Vintage,2012,18
1282,Country House: Polish Theatre Archive (Polish Theatre Archives),"C. D. Innes, Katherine Carlstrom, Scott Fraser",Scolar Press,1999,10
1283,Frame Reflection: Toward The Resolution Of Intractrable Policy Controversies,Donald A. Schon,Basic Books,1995,31
1284,A Theory of Poverty and Social Exclusion,Bill Jordan,Polity,1996,30
1285,The Master Guide for Wildlife Photographers,"Bill Silliker, Jr.","Amherst Media, Inc",2003,61
1286,Hello Exile: The True Story of One Woman's Struggle Against All Odds,Lilian Gafni,Publishamerica Incorporated,2004,4
1287,Montauk Book of the Dead,Peter Moon,Sky Books (NY),2005,40
1288,Advanced Writing: Fiction and Film,Wells Earl Draughon,iUniverse,2003,38
1289,"Money, Morals, and Manners: The Culture of the French and the American Upper-Middle Class (Morality and Society Series)",Michèle Lamont,University of Chicago Press,2012,31
1290,Five Star Science Fiction/Fantasy - Longevity City,David Murphy,Five Star Trade,2005,4
1291,Encountering God: A Spiritual Journey from Bozeman to Banaras,Diana L. Eck,Beacon Press,2014,1
1292,A Stranger In The Barrio: Memoir of a Tampa Sicilian,Frank Urso,iUniverse,2005,40
1293,"Prehospital Emergency Medicine: challenges and options in emergency services, 2nd Edition",John Schou,CRC Press,1997,26
1294,The War Against Men,Christina Hoff Sommers,Simon and Schuster,2015,3
1295,Outrageous Practices: The Alarming Truth About How Medicine Mistreats Women,"Leslie Laurence, Beth Weinhouse",Fawcett,1994,44
1296,The Way of Acting: The Theatre Writings of Tadashi Suzuki,Tadashi,Theatre Communications Group,2013,46
1297,"Sexual Orientation and Gender Expression in Social Work Practice: Working with Gay, Lesbian, Bisexual, and Transgender People","Deana F. Morrow, Lori Messinger",Columbia University Press,2006,31
1298,"Barth, Derrida and the Language of Theology",Graham Ward,Cambridge University Press,1995,1
1299,Community (Key Ideas),Gerard Delanty,Routledge,2009,31
1300,Ecclesiogenesis: The Base Communities Reinvent the Church,Leonardo Boff,Orbis Books,1986,1
1301,"Abe Lincoln's Hat (Step-Into-Reading, Step 3)",Martha Brenner,Random House Books for Young Readers,2022,19
1302,Metaphysics: Constructing a World View (Contours of Christian Philosophy),William Hasker,InterVarsity Press,2016,1
1303,In St. Patrick's Custody (Patrick & Grace Mystery #1),Janet Elaine Smith,"PageFree Publishing, Inc.",2002,4
1304,Faith on the Edge: Daring to Follow Jesus,"Paul Tokunaga, Kevin Blue, Amy Brooke, Robbie Fox Castleman, Bobby Gross, Jon Tran",InterVarsity Press,2009,1
1305,Gold Mining in North Carolina: A Bicentennial History,"Richard F. Knapp, Brent D. Glass, North Carolina. Division of Archives and History",North Carolina Division of Archives,1999,103
1306,No Full Stops in India,Mark Tully,Penguin UK,1992,33
1307,Beyond the Last Star: Stories from the Next Beginning,Edgar Rice Burroughs,The Floating Press,2009,4
1308,Guns in the Desert: A Western Duo,Lauran Paine,Wheeler Pub Incorporated,2003,4
1309,Intramedullary Spinal Cord Tumors,"Georges Fischer, Jacques Brotchi",Thieme,1996,26
1310,"Nonlinear Waves, Solitons and Chaos","Eryk Infeld, George Rowlands",Cambridge University Press,2000,22
1311,Marriage in the Long Run: A Collection of Articles for Families of Professional Drivers,Ellen Voie,iUniverse,2001,14
1312,Steven Soderbergh: Interviews (Conversations with Filmmakers),Steven Soderbergh,Univ. Press of Mississippi,2002,40
1313,Kashmir in the Shadow of War: Regional Rivalries in a Nuclear Age,Robert G. Wirsing,Routledge,2016,18
1314,"Asian Americans: Oral Histories of First to Fourth Generation Americans from China, the Philippines, Japan, India, the Pacific Islands, Vietnam and",Joann Faung Jean Lee,McFarland & Company Incorporated Pub,1991,18
1315,"Asian Loot: Unearthing the Secrets of Marcos, Yamashita and the Gold",Charles C. McDougald,San Francisco Pub,1993,18
1316,Nothing Is Impossible With God,Ann Voskamp,"Tyndale House Publishers, Inc.",2014,1
1317,At a Distance: Precursors to Art and Activism on the Internet (Leonardo Book Series),Annmarie Chandler,MIT Press,2005,10
1318,With Fire and Sword,Henryk Sienkiewicz,Createspace Independent Publishing Platform,2017,104
1319,The Devil's Lane: Sex and Race in the Early South,"Catherine Clinton, Michele Gillespie",Oxford University Press,1997,18
1320,Nagarjuna's Seventy Stanzas: A Buddhist Psychology Of Emptiness,Nāgārjuna,Snow Lion,1987,11
1321,Stuka Volume Two: Luftwaffe Ju 87 Dive-Bomber Units 1942-1945 (Luftwaffe Colours),Peter C. Smith,Classic Publications,2007,18
1322,"Software Development for Engineers, C/C++, Pascal, Assembly, Visual Basic, HTML, Java Script, Java DOS, Windows NT, UNIX",William Buchanan,Elsevier,1997,13
1323,I Believe in Miracles,Kathryn Kuhlman,Bridge Logos Foundation,1992,40
1324,Two Lucky People: Memoirs,"Milton Friedman, Rose D. Friedman",University of Chicago Press,1999,40
1325,Literature as Exploration 5/E,Sara E. Martínez,ABC-CLIO,2017,31
1326,The Man Who Owned Vermont,Bret Lott,Simon and Schuster,2012,4
1327,Ben Nicholson,"Norbert Lynton, Ben Nicholson",Phaidon Incorporated Limited,1993,10
1328,"American Sympathy: Men, Friendship, and Literature in the New Nation",Caleb Crain,Yale University Press,2008,29
1329,Walking With Arthur: Finding God on My Way to New York,James ODonnell,Moody Publishers,2005,1
1330,The Complexity of Cooperation: Agent-Based Models of Competition and Collaboration,Robert Axelrod,Princeton University Press,1997,30
1331,"Sticks, Stones, & Shadows: Building the Egyptian Pyramids",Abby Cooper,Macmillan,2016,21
1332,Wandering on the Way: Early Taoist Tales and Parables of Chuang Tzu,Tzu Chuang,University of Hawaii Press,2000,11
1333,"Inuyasha, Vol. 22",Rumiko Takahashi,VIZ Media LLC,2007,16
1334,Giants among Us,Troy Denning,Wizards of the Coast,2011,4
1335,"Swearing in English: Bad Language, Purity and Power from 1586 to the Present (Routledge Advances in Corpus Linguistics)",Tony McEnery,Routledge,2004,38
1336,Accessories of Dress: An Illustrated Encyclopedia (Dover Fashion and Costumes),"Katherine Lester, Bess Viola Oerke",Courier Corporation,2013,39
1337,"Conversations with Nostradamus: His Prophecies Explained, Vol. 3",Dolores Cannon,New Age Books,2006,105
1338,The Man Who Invented the Chromosome: A Life of Cyril Darlington,"Oren Solomon HARMAN, Oren Solomon Harman",Harvard University Press,2009,40
1339,El discipulo amado,Beth Moore,B&H Publishing Group,2004,14
1340,Goldfish,Nat Luurtsema,Macmillan,2016,21
1341,The Big House,George Howe Colt,Simon and Schuster,2012,40
1342,Mothering with Breastfeeding and Maternal Care,Mizin Park Kawasaki,iUniverse,2005,14
1343,COMPLETE BOOK OF BASS CHORDS,Dana Roth,Mel Bay Publications,1992,106
1344,The Audubon Reader (Everyman's Library),John James Audubon,Everyman's Library,2006,15
1345,Standard Arabic: An Advanced Course,"James Dickins, Janet C. E. Watson",Cambridge University Press,1999,24
1346,Why do some animals eat their young: Travelling With Young Children through Africa,Rough Guides,Apa Publications (UK) Limited,2018,33
1347,Techniques of the Selling Writer,Dwight V. Swain,University of Oklahoma Press,2012,38
1348,Play and the Politics of Reading: The Social Uses of Modernist Form,Paul B. Armstrong,Cornell University Press,2018,29
1349,Building Diplomacy: The Architecture of American Embassies,Jane C. Loeffler,Princeton Architectural Press,1998,59
1350,Basic Candle Making: All the Skills and Tools You Need to Get Started (How To Basics),Eric Ebeling,Rowman & Littlefield,2018,52
1351,Mind Food and Smart Pills,"Ross Pelton, Taffy Clarke Pelton",Main Street Books,1989,44
1352,Heroes at Home: Help and Hope for America's Military Families,Ellie Kay,Baker Books,2012,1
1353,"Off the Chain, Vol. 2",William H. Patterson,Macmillan,2010,40
1354,Time's Now/Ya Es Tiempo,Miguel Algarín,Arte Publico Press,1985,29
1355,Crazy Quilt Odyssey: Adventures in Victorian Needlework,Judith Montano,C & T Pub,1991,52
1356,Gargantuan: A Ruby Murphy Mystery (Ruby Murphy Mysteries),Maggie Estep,Crown,2010,4
1357,La hojarasca (Spanish Edition),Gabriel Garcia Marquez,Harper Collins,1979,4
1358,The Portrait of a Lady (The Classic Collection),Henry James,Penguin,2007,4
1359,Textual Intervention: Critical and Creative Strategies for Literary Studies (Interface),Rob Pope,Routledge,2013,38
1360,"The War in Europe: From the Kasserine Pass to Berlin, 1942-1945 (G.I. Series)",John P. Langellier,Greenhill Books/Lionel Leventhal,1998,18
1361,The Calico Club,Marjorie Knorr,Elderberry Press,2003,4
1362,I Happened upon a Miracle: Voices from the Gospels,C. David McKirachan,Westminster John Knox Press,2001,1
1363,After the Paperman Comes,Heywood Steele,iUniverse,2002,4
1364,Change is Like a Slinky,Hans Finzel,Moody Publishers,2004,5
1365,"Biography - Mau, Bruce Douglas (1959-): An article from: Contemporary Authors Online","Anthony Dunne, Fiona Raby",MIT Press,2013,72
1366,A Witch's Runes: How to Make and Use Your Own Magick Stones,Susan Sheppard,Citadel Press,1998,25
1367,"Esther Ross, Stillaguamish Champion","Robert H. Ruby, John Arthur Brown",University of Oklahoma Press,2001,31
1368,"Consuming Subjects: Women, Shopping, and Business in the Eighteenth Century",Elizabeth Kowaleski-Wallace,Columbia University Press,1997,5
1369,Walter Pfeiffer: Welcome Aboard,Walter Pfeiffer,Scalo Verlag Ac,2001,61
1370,"The Egyptian Economy, 1952-2000: Performance Policies and Issues (Routledge Studies in Middle Eastern Economies)",Khalid Ikram,Routledge,2007,18
1371,Heavenly Bodies: The Photographer's Guide to Astrophotography (Photot),Bert P. Krages,"Amherst Media, Inc",2003,61
1372,Show and Tell,Dan Roam,Penguin,2014,5
1373,Keepers of the Garden,Dolores Cannon,Ozark Mountain Publishing,1993,25
1374,Case Studies in Couple and Family Therapy: Systemic and Cognitive Perspectives,Frank M. Dattilio,Guilford Publications,2017,8
1375,Haslam's Valley,Gerald W. Haslam,Great Valley Books,2005,28
1376,Missing the Mark: How and Why Mainstream Christianity Will be Deceived in the Last Days,Susan Mahoney,iUniverse,2005,1
1377,The Contemporary Television Series,Michael Hammond,Edinburgh University Press,2005,46
1378,"Dreamcrafting: The Art of Dreaming Big, the Science of Making It Happen","Paul Levesque, Art McNeil",Berrett-Koehler Publishers,2003,14
1379,Life Skills: 225 Ready-to-Use Health Activities for Success and Well-Being (Grades 6-12),Sandra McTavish,Jossey-Bass,2003,3
1380,"Kate Skates (Penguin Young Readers, L2)",Jane OConnor,Penguin,1995,21
1381,Deaf World: A Historical Reader and Primary Sourcebook,Lois Bragg,NYU Press,2001,31
1382,Between Death & Life: Conversations with a Spirit,Dolores Cannon,Ozark Mountain Publishing,1993,25
1383,Mirror Dance (Miles Vorkosigan Adventures),Lois McMaster Bujold,Baen Books,1994,4
1384,"Monetary Theory and Policy, 2nd Edition",Carl E. Walsh,MIT Press,2017,5
1385,The Hidden Souls of Words: Keys to Transformation Through the Power of Words,Mary Cox Garner,"SelectBooks, Inc.",2004,38
1386,Carpentry and Building Construction Student Workbook,John L. Feirer,McGraw-Hill/Glencoe,1999,94
1387,Metallic Foil Origami Paper: 18 5-7/8 x 5-7/8 Sheets in 9 Colors (Dover Origami Papercraft),"Dover Staff, Dover Publications Inc, Origami",Dover Publications,1992,52
1388,Gambling Life: DEALING IN CONTINGENCY IN A GREEK CITY,Thomas M. Malaby,University of Illinois Press,2010,31
1389,Vice: New and Selected Poems,G. Ai,W. W. Norton & Company,2000,45
1390,Aboriginal Art A&I; (Art and Ideas),Howard Morphy,Phaidon Incorporated Limited,1998,10
1391,Dolly,"True Kelley, Who HQ",Penguin,2014,19
1392,"Foil, Saber, and Epee Fencing: Skills, Safety, Operations, and Responsibilities","Maxwell R. Garret, Emmanuil G. Kaidanov, Gil A. Pezza",Penn State Press,1994,17
1393,"Descendants of Darkness: Yami no Matsuei, Vol. 6",Yoko Matsushita,VIZ Media LLC,2005,16
1394,They Came to Destroy America: The FBI Goes to War Against Nazi Spies & Saboteurs During World War 2,"Stan Cohen, Don DeNevi, Richard Gay",Pictorial Histories Publishing Company,2003,18
1395,The Light That Never Dies: A Story of Hope in the Shadows of Grief,William D. Hendricks,Moody Publishers,2005,1
1396,Bull Halsey,John Wukovits,St. Martin's Press,2010,40
1397,Gold and Glitter,Consuelo Vanderbilt Balsan,Hodder Paperbacks,2012,107
1398,The Cambridge Companion to Homer (Cambridge Companions to Literature),"Robert Fowler, Robert Louis Fowler",Cambridge University Press,2004,18
1399,"The Eastern Archives of Nuzi and Excavations at Nuzi 9/2 (Studies on the Civilization and the Culture of Nuzi and the Hurrians, Vol 4)","Richard Francis Strong Starr, David I. Owen, Gernot Wilhelm",Capital Decisions Limited,1996,31
1400,California: Portrait of a State (Portrait of a Place),"David Muench, Marc Muench",Graphic Arts Center Publishing Co.,2004,61
1401,Wacousta or the Prophecy: A Tale of the Canadas (Centre for Editing Early Canadian Texts),John Richardson,McGill-Queen's Press - MQUP,1987,4
1402,"The Literature of Theology: A Guide for Students and Pastors, Revised and Updated",David R. Stewart,Westminster John Knox Press,2003,1
1403,Wellington At Waterloo (Greenhill Military Paperbacks),Jac Weller,Greenhill Books/Lionel Leventhal,1998,18
1404,Forty-Ouncer,Kurt Zapata,Manic d Press,1996,4
1405,Easy Adobe Premiere Elements 2,Carl Plumer,Que Pub,2005,13
1406,The Psychology of Humor: An Integrative Approach,Rod A. Martin,Elsevier,2010,8
1407,IgoUgo Travel Report: Niagara Falls: The Inside Scoop from Experienced Travelers,Evangelos Christou,Routledge,2016,5
1408,Planet of Twilight (Star Wars),Barbara Hambly,Spectra,1998,4
1409,Synchronicity and the Seventh Seal,Peter Moon,Sky Books (NY),2004,8
1410,Never Stop Pushing: My Life from a Wyoming Farm to the Olympic Medals Stand,Rulon Gardner,Da Capo Press,2009,40
1411,This Time Love: A Classic Love Story,Elizabeth Lowell,Harper Collins,2009,4
1412,Beyond Form Criticism: Essays in Old Testament Literary Criticism (Sources for Biblical and Theological Study Old Testament Series) Vol. 2,Scott J. Hafemann,Wipf and Stock Publishers,2008,1
1413,Spinoza's Book of Life: Freedom and Redemption in the Ethics,Steven B. Smith,Yale University Press,2003,11
1414,Delicious and Dependable Slow Cooker Recipes,Judith Finlayson,R. Rose,2002,6
1415,El Coronel No Tiene Quien Le Escriba / No One Writes to the Colonel (Spanish Edition),Gabriel Garcia Marquez,Harper Collins,2005,4
1416,Summer: Stories from the Collection News from Lake Wobegon,Garrison Keillor,Penguin,2002,4
1417,Bite Hard,Justin Chin,Manic d Press,1997,45
1418,"Fast, Fun & Easy Fabric Bowls: 5 Reversible Shapes to Use & Display",Lynn Koolish,C&T Publishing Inc,2010,52
1419,"Canal Parks, Museums and Characters of the Mid-Atlantic",Kate Mulligan,"Wakefield Press Pty, Limited (AUS)",1999,33
1420,Turning The Wheel: American Women Creating the New Buddhism,Sandy Boucher,Beacon Press,1993,1
1421,"Energy in Physics, War and Peace: A Festschrift Celebrating Edward Teller's 80th Birthday (Fundamental Theories of Physics)","Hans Mark, Lowell Wood",Springer Science & Business Media,2012,9
1422,Prophesy Deliverance!,Cornel West,Westminster John Knox Press,2002,31
1423,We Are the People Our Parents Warned Us Against: The Classic Account of the 1960s Counter-Culture in San Francisco,Nicholas Von Hoffman,Ivan R Dee,1968,31
1424,Admiral Arleigh Burke,Elmer Belmont Potter,Random House Incorporated,1990,30
1425,The Mathematical Work of Charles Babbage,"J. M. Dubbey, John Michael Dubbey",Cambridge University Press,2004,9
1426,Orange Crushed: An Ivy League Mystery (Ivy League Mysteries),Pamela Thomas-Graham,Simon and Schuster,2005,4
1427,Not Quite Married,Betina Krahn,Bantam,2004,4
1428,Topics in Environmental Epidemiology,"Kyle Steenland, David A. Savitz","Oxford University Press, USA",1997,26
1429,Lost Cities and Sunken Lands,Nigel Pennick,Capall Bann Pub,1997,25
1430,At Issue Series - Violent Children (hardcover edition),Louise I. Gerdes,"Greenhaven Press, Incorporated",2004,19
1431,Classical Electrodynamics (The advanced book program),"Julian Schwinger, Lester L. Deraad Jr., Kimball Milton, Wu-yang Tsai",Westview Press,1998,9
1432,A History of Ethiopia: Nubia and Abyssinia,E. A. Wallis Budge,Routledge,2015,108
1433,Inferno (Modern Library Classics),Dante Alighieri,Ballantine Books,2005,45
1434,The Besler Florilegium: Plants of the Four Seasons,Gerard G. Aymonin,Harry N. Abrams,1989,9
1435,The Founders,Jimmy Soni,Simon and Schuster,2022,5
1436,Jenny Holzer (Contemporary Artists (Phaidon)),"Samuel Beckett, David Joselit, Elias Canetti, Joan Simon, Renata Salecl, Jenny Holzer",Phaidon Incorporated Limited,1998,10
1437,Consumer Culture: A Reference Handbook (Contemporary World Issues),"Douglas J. Goodman, Mirelle Cohen",ABC-CLIO,2004,20
1438,H. P. Blavatsky and the Secret Doctrine (Quest Book),Virginia Hanson,Quest Books,1971,109
1439,A Matrix of Meanings: finding God in pop culture (Engaging Culture),"Craig Detweiler, Barry Taylor",Baker Academic,2003,1
1440,"Henry Howard, the Poet Earl of Surrey: A Life",William A. Sessions,Oxford University Press on Demand,2003,40
1441,125 Best Cheesecake Recipes,George Geary,Robert Rose Incorporated,2002,6
1442,Mountain Harmonies: Walking the Western Wildernesses,Howard L. Smith,UNM Press,2004,15
1443,Plain Text,Dennis Tenen,Stanford University Press,2017,31
1444,Dance Between Two Cultures: Latino Caribbean Literature Written in the United States,William Luis,Vanderbilt University Press,2001,29
1445,Boricuas: Influential Puerto Rican Writings - An Anthology,Roberto Santiago,One World,2009,31
1446,Genealogies of Religion: Discipline and Reasons of Power in Christianity and Islam,Talal Asad,Johns Hopkins University Press,1993,1
1447,The Legend of Starcrash,Dolores Cannon,Ozark Mountain Publishing,1994,25
1448,Harp Exercises for Agility and Speed,Deborah Friou,Hal Leonard Corporation,1989,2
1449,1-2 Corinthians (New Cambridge Bible Commentary),Craig S. Keener,Cambridge University Press,2005,1
1450,Character Styles,Steve De Shazer,W W Norton & Company Incorporated,1994,8
1451,Neural Networks: Algorithms and Applications,"M. Ananda Rao, J. Srinivas",Alpha Science Int'l Ltd.,2003,13
1452,Cara's Journey Home: A Parable for Today's Woman,Catherine Monserrat,"Catherine Monserrat, PH.D.",2003,4
1453,Navigating Your Freshman Year: How to Make the Leap to College Life-and Land on Your Feet (Students Helping Students),Students Helping Students,Penguin,2005,20
1454,Growing Up Free In America,"Richard Flory, Korie L. Edwards, Brad Christerson",Stanford University Press,2010,31
1455,Liberal Pluralism: The Implications of Value Pluralism for Political Theory and Practice,"William A. Galston, William Arthur Galston",Cambridge University Press,2002,60
1456,Jesus Pedro del Campo Montes: La Conciencia de Puerto Rico Asesinada (Spanish Edition),"Noble David Cook, William George Lovell",University of Oklahoma Press,2001,18
1457,Entertainment-Education: A Communication Strategy for Social Change (Routledge Communication Series),"Arvind Singhal, Everett Rogers",Routledge,2012,38
1458,Strategic Reserve (Alias),"Christina F. York, J. J. Abrams",Simon and Schuster,2006,4
1459,"Hot Gimmick, Vol. 9",Miki Aihara,VIZ Media LLC,2010,16
1460,Tales of the Jazz Age,Francis Scott Fitzgerald,Copp Clark,1922,110
1461,The Women.,Ivy Pochoda,HarperCollins,2020,4
1462,Kuchma's Dictum,Jacques Evans,Jacques Evans,2009,4
1463,Communication Miracles at Work: Effective Tools and Tips for Getting the Most from Your Work Relationships,Matthew Gilbert,Mango Media,2002,5
1464,Liars and Saints: A Novel,Maile Meloy,Simon and Schuster,2007,4
1465,Custer: Cavalier in Buckskin,Robert Marshall Utley,University of Oklahoma Press,2001,40
1466,Fear in the Forest (Crowner John Mysteries),Bernard Knight,Severn House Publishers Ltd,2014,4
1467,More Than Anything Else,Marie Bradby,Scholastic Inc.,2021,21
1468,"Globalization, Democratization and Asian Leadership: Power Sharing, Foreign Policy and Society in the Philippines and Japan",Vincent Kelly Pollard,Routledge,2017,30
1469,Justinian and Theodora,James Allan Evans,University of Texas Press,2003,40
1470,Man o' War (Thoroughbred Legends),Edward L. Bowen,Eclipse Press,2002,17
1471,The Nuclear Borderlands: The Manhattan Project in Post-Cold War New Mexico,Joseph Masco,Princeton University Press,2020,18
1472,Managing Product and Service Development: Text and Cases,Stefan Thomke,McGraw-Hill/Irwin,2007,5
1473,Introduction to IP Telephony: Why and How Companies are Upgrading Private Telephone Systems to use VoIP Services,Lawrence Harte,Althos Incorporated,2006,13
1474,Hiroshige: Japan's Great Landscape Artist,Isaburō Oka,Kodansha USA Incorporated,1997,12
1475,Getting Sent: A Relational Approach to Support Raising,Pete Sommer,IVP Books,1999,1
1476,Monkey Girl: Swingin' Tales,Beth Lisick,Manic d Press,1997,4
1477,Tennis Tactics: Winning Patterns of Play,United States Tennis Association,Human Kinetics Publishers,1996,17
1478,A Grammar of Shakespeare's Language,Norman Blake,Bloomsbury Publishing,2017,38
1479,Rio Linda and Elverta (CA) (Images of America),Joyce Buckland,Arcadia Publishing,2006,18
1480,"Butterflies through Binoculars: A Field, Finding, and Gardening Guide to Butterflies in Florida (Butterflies (and Others) Through Binoculars Field Guide Seri)",Ted Floyd,National Geographic Books,2019,15
1481,"Parallax Visions: Making Sense of American&ndash;East Asian Relations at the End of the Century (Asia-Pacific: Culture, Politics, and Society)",Bruce Cumings,Duke University Press,2002,18
1482,The Godless and the Infidels: Memoirs of a Rascal Boy During World War I,Harry Artinian,iUniverse,2001,4
1483,"Authentic Color Schemes for Victorian Houses: Comstock's Modern House Painting, 1883 (Dover Architecture)","E. K. Rossiter, F. A. Wright",Courier Corporation,2012,59
1484,Best Gay Erotica 2003,Richard Labonte,Cleis Press Start,2012,4
1485,Legacy from the Stars (Psychic Powers Psychic Phenome),Dolores Cannon,Ozark Mountain Publishing,1996,25
1486,Fatass No More! How I Lost Weight and Still Ate Cheeseburgers and Fries,Kim Rinehart,Artrum Media,2011,44
1487,"The Actor's Book of Scenes from New Plays: 70 Scenes for Two Actors, from Today's Hottest Playwrights","Eric Lane, Nina Shengold",Penguin,1988,46
1488,Life on the Vine: Cultivating the Fruit of the Spirit,Philip D. Kenneson,InterVarsity Press,1999,1
1489,Chinese Qigong Illustrated,"Li Jingwei, Zhu Jianping",Singing Dragon,2013,25
1490,Getting Together: Building Relationships As We Negotiate,"Roger Fisher, Scott Brown",Penguin,1989,5
1491,Development of Your Immortal Body,Evander Wright,Amer House Book Pubs,2002,1
1492,Doublespeak Defined: Cut Through the Bull**** and Get the Point!,William D. Lutz,HarperPB,1999,38
1493,Land Rover Ser 3 Owners Hndbk (Official Handbooks),"Brooklands Books Ltd., Land Rover Limited",Brooklands Book Limited,2006,53
1494,My Best Friend: The Fellowship of the Holy Spirit,Atinuke Omisade,Xulon Press,2007,1
1495,Bangladesh (Cultures of the World),Ellen London,Gareth Stevens,2004,19
1496,"""Follow the Flag"": A History of the Wabash Railroad Company (Railroads in America)",H. Roger Grant,Northern Illinois University Press,2019,53
1497,American Foundations: An Investigative History,Mark Dowie,MIT Press,2002,18
1498,Paying for College: The Greenes' Guide to Financing Higher Education,"Howard R. Greene, Matthew W. Greene",Macmillan,2004,3
1499,Study Guide & Practice Workbook: Pre-Algebra,J. I. Packer,InterVarsity Press,1993,1
1500,"Mastering Alliance Strategy: A Comprehensive Guide to Design, Management, and Organization","James D. Bamford, Benjamin Gomes-Casseres, Michael S. Robinson",John Wiley & Sons,2003,5
1501,The Magic Bicycle (Spirit Flyer),John Bibee,InterVarsity Press,1983,21
1502,Sintaxis y morfologa de la lengua espa&#241;ola,Kathleen Wheatley,Pearson,2006,24
1503,"Traditional Clothing of the Native Americans: With Patterns and Ideas for Making Authentic Traditional Clothing, Making Modern Buckskin Clothing and a Section on Tanning Buckskins and Furs",Evard H. Gibby,Eagles View Publishing,2001,52
1504,Jesusology: Understand What You Believe About Jesus and Why,"Gregg R. Allison, Steve Keels",B&H Publishing Group,2005,19
1505,The Last Voyage of the Loch Ryan,Andrew Struthers,Transmontanus,2004,40
1506,Better Food for Dogs: A Complete Cookbook and Nutrition Guide,"David Bastin, Jennifer Ashton, Grant Nixon",Robert Rose Incorporated,2002,6
1507,The Enneagram & Psychotherapy: The Core Motivations of Enneagram Personality Type,"Don Richard Riso, Russ Hudson",Houghton Mifflin Harcourt,2000,8
1508,Mystery Box,Kyle Lucia Wu,Tin House Books,2021,4
1509,Having a Job Just Like Recess: A Parent's Manual for Guiding and Gracing Your Child's Career Path,Mark de Roo,iUniverse,2003,5
1510,Becoming The Crane,May Oskan,iUniverse,2005,21
1511,Trenches and Hard-Points: A Gulf War Novel,Bob Newman,Publishamerica Incorporated,2002,4
1512,Greene and Greene: Masterworks,"Bruce Smith, Greene & Greene",Chronicle Books,1998,59
1513,Reflecting Narcissus: A Queer Aesthetic,Steven Bruhm,Minneapolis : University of Minnesota Press,2001,29
1514,Philosophical Essays and Correspondence (Descartes) (Hackett Publishing Co.),René Descartes,Hackett Publishing,2000,11
1515,"Advanced Engineering Fluid Mechanics, Second Edition","K. Muralidhar, Gautam Biswas",Alpha Science Int'l Ltd.,2005,36
1516,One Night for Love,Mary Balogh,Dell,2012,4
1517,Intuition Workout: A Practical Guide to Discovering and Developing Your Inner Knowing,Nancy Rosanoff,Author's Choice Publishing,1991,25
1518,A Trilogy in Paradoxism (Avant-Garde Political Dramas),Florentin Smarandache,Zayupress,2004,29
1519,The Essential Bible Handbook: A Guide for Catholics (Redemptorist Pastoral Publication) (Essential (Liguori)),"Thomas M. Santa, Redemptorist Pastoral Publication",Libros Liguori,2002,1
1520,Handbook of Industrial Robotics,Shimon Y. Nof,John Wiley & Sons,1999,36
1521,Maire (The Fires of Gleannmara Series #1),Linda Windsor,Multnomah Books,2009,4
1522,The Kitchen Chronicles: Lunches with J. Krishnamurti,Michael Krohnen,Karina Library Press,2018,40
1523,Encouraging the Heart: A Leader's Guide to Rewarding and Recognizing Others,"James M. Kouzes, Barry Z. Posner",John Wiley & Sons,1999,5
1524,Rituals of Survival: A Woman's Portfolio,Nicholasa Mohr,Arte Publico Press,1985,111
1525,All About Technical Analysis : The Easy Way to Get Started,Constance Brown,McGraw Hill Professional,2002,5
1526,Railway Adventure,L. T. C. Rolt,Sutton Pub Limited,1998,5
1527,Coaching Boys' Lacrosse: A Baffled Parent's Guide,"Janine Tucker, Maryalice Yakutchik",McGraw Hill Professional,2003,17
1528,Multiple Scale and Singular Perturbation Methods (Applied Mathematical Sciences),"J.K. Kevorkian, J.D. Cole",Springer Science & Business Media,2012,22
1529,Four Arguments for the Elimination of Television,Jerry Mander,Harper Collins,2013,31
1530,The Heart Sutra Explained (Suny Series in Buddhist Studies),Donald S. Lopez,SUNY Press,1988,1
1531,See Naples and Die: A World War II Memoir of a United States Army Ski Trooper in the Mountains of Italy,Robert B. Ellis,McFarland,1996,18
